Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Nov 2019 13:36:44 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"35382","NO63NW 7","Elliot","Cup Marked Stone (Prehistoric), Enclosure (Period Unassigned)(Possible), Long Cist Cemetery (Early Medieval), Souterrain (Prehistoric)","361600","739300","ANGUS","ANGUS","ARBIRLOT","NO 616 393","http://canmore.org.uk/site/35382",
"254867","NO37SE 26","Wheen","Building(S) (Period Unassigned), Burnt Mound (Prehistoric), Cairn (Period Unassigned), Cairnfield (Period Unassigned), Hut Circle(S) (Prehistoric), Pen (Period Unassigned), Ring Cairn (Neol/bronze Age), Ring Ditch House(S) (Prehistoric)","336756","770451","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 36756 70451","http://canmore.org.uk/site/254867",
"254981","NO36NE 83","Whitehillocks Plantation","Cairnfield (Prehistoric), Hut(S) (Period Unassigned), Hut Circle (Prehistoric), Hut Circle (Prehistoric)(Possible)","337155","768035","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37155 68035","http://canmore.org.uk/site/254981",
"31853","NO33NE 1","Balluderon","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","338180","738440","ANGUS","ANGUS","TEALING","NO 3818 3844","http://canmore.org.uk/site/31853",
"31857","NO33NE 13","Balcalk","Cist(S) (Period Unassigned), Knife, Necklace (Jet), Pin","339000","739000","ANGUS","ANGUS","TEALING","NO 39 39","http://canmore.org.uk/site/31857",
"31858","NO33NE 14","Cross House, Balkemback","Cup Marked Stone (Prehistoric)","339530","738130","ANGUS","ANGUS","TEALING","NO 3953 3813","http://canmore.org.uk/site/31858",
"31899","NO33NW 19","Burnhead Of Auchterhouse","Cultivation Remains (Period Unassigned), Souterrain (Prehistoric)(Possible), Souterrain(S) (Prehistoric)","333403","738245","ANGUS","ANGUS","AUCHTERHOUSE","NO 33403 38245","http://canmore.org.uk/site/31899",
"32067","NO34NE 2","Glamis","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)","338580","746860","ANGUS","ANGUS","GLAMIS","NO 3858 4686","http://canmore.org.uk/site/32067",
"32139","NO34SE 1","Denoon Law","Building (Period Unassigned)(Possible), Fort (Prehistoric)","335460","744400","ANGUS","ANGUS","GLAMIS","NO 3546 4440","http://canmore.org.uk/site/32139",
"33352","NO43NW 11","Tealing Hill","Cist (Period Unassigned), Cinerary Urn, Food Vessel","341620","739820","ANGUS","ANGUS","TEALING","NO 4162 3982","http://canmore.org.uk/site/33352",
"33356","NO43NW 15","Tealing Farm","Cup Marked Stone (Prehistoric)","341400","738100","ANGUS","ANGUS","TEALING","NO 414 381","http://canmore.org.uk/site/33356",
"33361","NO43NW 2","Kirkton Of Tealing","Hut Circle (Prehistoric)","340740","737800","ANGUS","ANGUS","TEALING","NO 4074 3780","http://canmore.org.uk/site/33361",
"33450","NO43SE 7","Laws Of Monifieth","Broch (Iron Age)(Possible), Cup And Ring Marked Stone (Prehistoric), Fort (Period Unassigned), Vitrified Stone (Period Unassigned)","349160","734890","ANGUS","ANGUS","MONIFIETH (ANGUS)","NO 4916 3489","http://canmore.org.uk/site/33450",
"33563","NO44NE 1","Dunnichen","Cup And Ring Marked Stone (Prehistoric)","347000","749900","ANGUS","ANGUS","DUNNICHEN","NO 470 499","http://canmore.org.uk/site/33563",
"33571","NO44NE 2","Pitreuchie","Cist (Period Unassigned), Food Vessel, Necklace(S) (Jet)","346920","749760","ANGUS","ANGUS","FORFAR","NO 4692 4976","http://canmore.org.uk/site/33571",
"33574","NO44NE 5","Balmashanner","Armlet(S) (Bronze), Bead(S) (Amber), Cinerary Urn, Hoard (Bronze), Socketed Axehead (Bronze)","346200","748900","ANGUS","ANGUS","FORFAR","NO 462 489","http://canmore.org.uk/site/33574",
"33659","NO44SW 6","Tealing Hill","Cup And Ring Marked Stone (Prehistoric)","340700","740200","ANGUS","ANGUS","TEALING","NO 407 402","http://canmore.org.uk/site/33659",
"33660","NO44SW 7","Tealing Hill","Cup And Ring Marked Stone (Prehistoric)","340800","740700","ANGUS","ANGUS","TEALING","NO 408 407","http://canmore.org.uk/site/33660",
"33681","NO45NE 25","East Mains Of Whitewell","Barrow (Prehistoric), Pit(S) (Period Unassigned), Pit Alignment(S) (Prehistoric), Ring Ditch (Period Unassigned)","347480","757590","ANGUS","ANGUS","TANNADICE","NO 4748 5759","http://canmore.org.uk/site/33681",
"33792","NO45SE 45","Forfar Golf Course","Cup Marked Stone (Prehistoric)","347700","750700","ANGUS","ANGUS","FORFAR","NO 477 507","http://canmore.org.uk/site/33792",
"33799","NO45SE 51","Restenneth Priory","Boundary Stone (Period Unassigned), Cup Marked Stone (Prehistoric)","348100","751670","ANGUS","ANGUS","FORFAR","NO 4810 5167","http://canmore.org.uk/site/33799",
"33824","NO45SE 74","Hill Of Finavon","Cup Marked Stone (Prehistoric)","349000","754800","ANGUS","ANGUS","OATHLAW","NO 490 548","http://canmore.org.uk/site/33824",
"33828","NO45SE 78","Wemyss","Cup And Ring Marked Stone (Prehistoric)","349100","751900","ANGUS","ANGUS","FORFAR","NO 491 519","http://canmore.org.uk/site/33828",
"33829","NO45SE 79","Forfar","Cup Marked Stone (Prehistoric)(Possible)","345000","750000","ANGUS","ANGUS","FORFAR","NO 45 50","http://canmore.org.uk/site/33829",
"33830","NO45SE 8","Blackgate","Cup And Ring Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)(Possible), Cinerary Urn","348400","752800","ANGUS","ANGUS","RESCOBIE","NO 484 528","http://canmore.org.uk/site/33830",
"34515","NO53NE 34","Craigmill","Enclosure(S) (Period Unassigned), Rig And Furrow (Medieval), Roundhouse (Prehistoric), Souterrain (Prehistoric)(Possible), Unenclosed Settlement (Period Unassigned)","358200","736100","ANGUS","ANGUS","PANBRIDE","NO 582 361","http://canmore.org.uk/site/34515",
"34521","NO53NE 4","West Scryne","Pit(S) (Period Unassigned), Pit Alignment (Prehistoric), Rig And Furrow (Medieval), Ring Ditch (Prehistoric)","357200","737200","ANGUS","ANGUS","PANBRIDE","NO 572 372","http://canmore.org.uk/site/34521",
"34535","NO53NW 14","Carlungie","Settlement (Period Unassigned), Souterrain (Prehistoric), Unidentified Pottery (Roman)","351117","735972","ANGUS","ANGUS","MONIKIE","NO 51117 35972","http://canmore.org.uk/site/34535",
"34579","NO53SW 16","Balhungie","Enclosure(S) (Period Unassigned), Pit Alignment (Prehistoric)(Possible), Rig And Furrow (Medieval), Ring Ditch(S) (Period Unassigned), Roundhouse(S) (Prehistoric)","351306","734516","ANGUS","ANGUS","MONIKIE","NO 51306 34516","http://canmore.org.uk/site/34579",
"34610","NO53SW 9","Woodhill House","Cup Marked Stone (Prehistoric)","352100","734400","ANGUS","ANGUS","MONIKIE","NO 521 344","http://canmore.org.uk/site/34610",
"34619","NO54NE 17","Damside","Barrow (Prehistoric), Souterrain(S) (Prehistoric)","357300","749600","ANGUS","ANGUS","KIRKDEN","NO 573 496","http://canmore.org.uk/site/34619",
"34620","NO54NE 18","Damside","Cropmark(S) (Period Unknown), Roundhouse (Prehistoric)","357785","749411","ANGUS","ANGUS","KIRKDEN","NO 57785 49411","http://canmore.org.uk/site/34620",
"34621","NO54NE 19","Damside","Pit Alignment (Prehistoric)","357800","749500","ANGUS","ANGUS","KIRKDEN","NO 578 495","http://canmore.org.uk/site/34621",
"34624","NO54NE 21","Friock Mains","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned)(Possible), Pit(S) (Period Unassigned), Rig And Furrow (Medieval), Roundhouse(S) (Prehistoric)(Possible), Souterrain(S) (Prehistoric)(Possible)","358600","749350","ANGUS","ANGUS","KIRKDEN","NO 5860 4935","http://canmore.org.uk/site/34624",
"34695","NO54NW 9","Dunnichen","Cup Marked Stone (Prehistoric), Arrowhead(S) (Stone)","351300","748600","ANGUS","ANGUS","DUNNICHEN","NO 513 486","http://canmore.org.uk/site/34695",
"34860","NO55NW 80","Aberlemno","Pictish Symbol Stone(S) (Pictish)","352200","755900","ANGUS","ANGUS","ABERLEMNO","NO 522 559","http://canmore.org.uk/site/34860",
"34902","NO55SW 11","Reswallie House","Boundary Stone (Period Unassigned), Cup And Ring Marked Stone (Prehistoric)","350530","751540","ANGUS","ANGUS","RESCOBIE","NO 5053 5154","http://canmore.org.uk/site/34902",
"34914","NO55SW 22","Mains Of Balgavies","Cup And Ring Marked Stone (Prehistoric)","353100","751100","ANGUS","ANGUS","ABERLEMNO","NO 531 511","http://canmore.org.uk/site/34914",
"34915","NO55SW 23","Turin Hill","Cup Marked Rock (Prehistoric)","351510","753560","ANGUS","ANGUS","RESCOBIE","NO 5151 5356","http://canmore.org.uk/site/34915",
"34916","NO55SW 24","Turin Hill","Cup And Ring Marked Rock (Prehistoric)","351500","753550","ANGUS","ANGUS","RESCOBIE","NO 5150 5355","http://canmore.org.uk/site/34916",
"34917","NO55SW 25","Turin Hill","Cup And Ring Marked Stone (Prehistoric)","351350","753500","ANGUS","ANGUS","ABERLEMNO","NO 5135 5350","http://canmore.org.uk/site/34917",
"34918","NO55SW 26","Turin Hill","Cup Marked Stone (Prehistoric)","351350","753500","ANGUS","ANGUS","ABERLEMNO","NO 5135 5350","http://canmore.org.uk/site/34918",
"34919","NO55SW 27","Turin Hill","Cup And Ring Marked Rock (Prehistoric)","351330","753710","ANGUS","ANGUS","ABERLEMNO","NO 5133 5371","http://canmore.org.uk/site/34919",
"34920","NO55SW 28","Turin Hill","Cup Marked Rock (Prehistoric)","352210","753700","ANGUS","ANGUS","ABERLEMNO","NO 5221 5370","http://canmore.org.uk/site/34920",
"34921","NO55SW 29","Turin Hill","Cup And Ring Marked Rock (Prehistoric)","352220","753690","ANGUS","ANGUS","ABERLEMNO","NO 5222 5369","http://canmore.org.uk/site/34921",
"34923","NO55SW 30","Mains Of Balgavies","Cup And Ring Marked Stone (Prehistoric)","353400","751200","ANGUS","ANGUS","ABERLEMNO","NO 534 512","http://canmore.org.uk/site/34923",
"34924","NO55SW 31","Mains Of Balgavies","Cup Marked Stone (Prehistoric)","352900","751200","ANGUS","ANGUS","ABERLEMNO","NO 529 512","http://canmore.org.uk/site/34924",
"34969","NO56NE 1","Brown Caterthun","Fort (Iron Age)","355530","766860","ANGUS","ANGUS","MENMUIR","NO 5553 6686","http://canmore.org.uk/site/34969",
"35111","NO56SW 1","Balhall","Cup Marked Stone (Prehistoric)","350470","764230","ANGUS","ANGUS","MENMUIR","NO 5047 6423","http://canmore.org.uk/site/35111",
"35375","NO63NW 11","Balcathie","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned), Pit Enclosure (Prehistoric)(Possible), Rig And Furrow (Medieval), Souterrain(S) (Prehistoric)(Possible)","360500","739200","ANGUS","ANGUS","ARBIRLOT","NO 605 392","http://canmore.org.uk/site/35375",
"35381","NO63NW 6","Cotton Of Balcathie","Pit(S) (Period Unassigned), Pit Alignment (Prehistoric), Rig And Furrow (Medieval), Ring Ditch(S) (Period Unassigned), Souterrain (Prehistoric)(Possible), Square Barrow (Iron Age)","360400","738800","ANGUS","ANGUS","ARBIRLOT","NO 6040 3880","http://canmore.org.uk/site/35381",
"35388","NO64NE 12","Priestfield","Barrow(S) (Prehistoric)(Possible), Palisaded Settlement (Period Unassigned), Rig And Furrow (Medieval), Roundhouse (Prehistoric)","367312","748868","ANGUS","ANGUS","INVERKEILOR","NO 67312 48868","http://canmore.org.uk/site/35388",
"35396","NO64NE 2","Gilchorn","Cairn (Period Unassigned)","365030","748270","ANGUS","ANGUS","INVERKEILOR","NO 6503 4827","http://canmore.org.uk/site/35396",
"35464","NO64NW 30","Newton","Pit(S) (Period Unassigned), Rig And Furrow (Medieval), Ring Ditch(S) (Period Unassigned), Roundhouse (Prehistoric), Souterrain (Prehistoric)(Possible)","360900","746700","ANGUS","ANGUS","INVERKEILOR","NO 6090 4670","http://canmore.org.uk/site/35464",
"35475","NO64NW 40","Boysack","Pit Enclosure (Prehistoric), Souterrain(S) (Prehistoric), Unenclosed Settlement (Iron Age)","361920","748930","ANGUS","ANGUS","INVERKEILOR","NO 6192 4893","http://canmore.org.uk/site/35475",
"35477","NO64NW 42","Invergighty Cottage","Barrow(S) (Prehistoric), Field Drain(S) (Period Unassigned), Square Barrow(S) (Iron Age)","362030","749580","ANGUS","ANGUS","INVERKEILOR","NO 6203 4958","http://canmore.org.uk/site/35477",
"35481","NO64NW 46","Hodgeton","Enclosure (Period Unassigned), Pit Alignment (Prehistoric), Roundhouse (Prehistoric)(Possible)","363890","749470","ANGUS","ANGUS","INVERKEILOR","NO 6389 4947","http://canmore.org.uk/site/35481",
"35531","NO64SE 4","'castle Rock', Auchmithie","Cup And Ring Marked Rock (Prehistoric), Fort (Period Unassigned)","368190","744160","ANGUS","ANGUS","ARBROATH AND ST VIGEANS","NO 6819 4416","http://canmore.org.uk/site/35531",
"35606","NO64SW 45","Arbroath","Cup Marked Stone (Prehistoric)","363000","740000","ANGUS","ANGUS","ARBROATH AND ST VIGEANS","NO 63 40","http://canmore.org.uk/site/35606",
"35670","NO65NE 19","Maryton Law","Cairn (Period Unassigned)(Possible)","368160","755560","ANGUS","ANGUS","MARYTON","NO 6816 5556","http://canmore.org.uk/site/35670",
"35701","NO65NE 47","Gilrivie","Linear Feature(S) (Period Unassigned), Pit(S) (Period Unassigned), Pit Alignment (Prehistoric), Rig And Furrow (Medieval), Ring Ditch (Period Unassigned), Souterrain (Prehistoric)(Possible)","368540","759450","ANGUS","ANGUS","DUN","NO 6854 5945","http://canmore.org.uk/site/35701",
"35776","NO65NW 59","Kinnaird Castle","Pit(S) (Period Unassigned), Rig And Furrow (Medieval), Roundhouse(S) (Prehistoric), Souterrain(S) (Prehistoric), Unenclosed Settlement (Period Unassigned)","362600","757600","ANGUS","ANGUS","BRECHIN","NO 626 576","http://canmore.org.uk/site/35776",
"35980","NO66NW 49","Inchbare","Pit Alignment (Prehistoric), Pit Enclosure (Prehistoric)","360800","765464","ANGUS","ANGUS","STRACATHRO","NO 60800 65464","http://canmore.org.uk/site/35980",
"36026","NO66SE 3","House Of Dun Policies,  Den Wood, Fordhouse","Cup Marked Stone (Prehistoric)","366529","760528","ANGUS","ANGUS","DUN","NO 66529 60528","http://canmore.org.uk/site/36026",
"122747","NO57NW 12","Whups Craig","Cairnfield (Period Unassigned), Hut Circle (Prehistoric)(Possible), Hut Circle (Prehistoric), Lynchet(S) (Period Unassigned), Rig And Furrow (Medieval)","354330","779340","ANGUS","ANGUS","LOCHLEE","NO 5433 7934","http://canmore.org.uk/site/122747",
"125521","NO53NE 68","Hatton Farm","Cultivation Remains (Period Unassigned), Enclosure(S) (Period Unassigned), Pit(S) (Period Unassigned), Ring Groove House(S) (Prehistoric)(Possible), Souterrain (Prehistoric)(Possible)","359130","738190","ANGUS","ANGUS","PANBRIDE","NO 5913 3819","http://canmore.org.uk/site/125521",
"127413","NO64NE 69","Newbarns","Barrow (Prehistoric), Barrow Cemetery (Prehistoric), Square Barrow (Iron Age)","368200","748900","ANGUS","ANGUS","INVERKEILOR","NO 682 489","http://canmore.org.uk/site/127413",
"142571","NO53SW 59","Woodhill House","Cup And Ring Marked Stone (Prehistoric), Cup Marked Stone(S) (Prehistoric)","351820","734240","ANGUS","ANGUS","BARRY","NO 5182 3424","http://canmore.org.uk/site/142571",
"142679","NO63NW 25","Mains Of Kelly","Pit(S) (Period Unassigned), Souterrain (Prehistoric)(Possible), Unenclosed Settlement (Period Unassigned)","360200","738930","ANGUS","ANGUS","ARBIRLOT","NO 6020 3893","http://canmore.org.uk/site/142679",
"142686","NO53NE 75","Auchrennie","Roundhouse (Prehistoric)(Possible)","355830","736910","ANGUS","ANGUS","PANBRIDE","NO 5583 3691","http://canmore.org.uk/site/142686",
"143344","NO54NE 59","Pitmuies","Cropmark(S) (Period Unknown), Roundhouse (Prehistoric)(Possible), Souterrain (Prehistoric)","356390","749900","ANGUS","ANGUS","KIRKDEN","NO 5639 4990","http://canmore.org.uk/site/143344",
"143378","NO64NW 104","Chapelton","Cropmark(S) (Period Unknown), Linear Feature(S) (Period Unassigned), Roundhouse (Prehistoric), Souterrain (Prehistoric)(Possible)","362710","748030","ANGUS","ANGUS","INVERKEILOR","NO 6271 4803","http://canmore.org.uk/site/143378",
"144175","NO64NW 108","Boysack","Pit(S) (Period Unassigned), Pit Alignment (Prehistoric), Rig And Furrow(S) (Medieval), Roundhouse (Prehistoric)(Possible)","361530","749520","ANGUS","ANGUS","KINNELL","NO 6153 4952","http://canmore.org.uk/site/144175",
"144406","NO64NW 111","Westfield","Pit(S) (Period Unassigned), Roundhouse (Prehistoric)(Possible), Souterrain (Prehistoric)","362580","748300","ANGUS","ANGUS","INVERKEILOR","NO 6258 4830","http://canmore.org.uk/site/144406",
"161257","NO54NE 67","Pitmuies","Pit Circle (Prehistoric)(Possible), Roundhouse (Prehistoric)(Possible), Timber Circle (Neol/bronze Age)(Possible)","356838","749735","ANGUS","ANGUS","KIRKDEN","NO 56838 49735","http://canmore.org.uk/site/161257",
"195009","NO65NE 94","Bonnyton","Barrow(S) (Prehistoric)(Possible), Cropmark(S) (Period Unknown), Drain(S) (Period Unassigned), Pit(S) (Period Unassigned), Souterrain(S) (Prehistoric)(Possible)","366500","756200","ANGUS","ANGUS","MARYTON","NO 665 562","http://canmore.org.uk/site/195009",
"252680","NO44NW 86","Halkerton","Flint Scatter (Prehistoric), Pottery Scatter (Medieval), Cinerary Urn (Prehistoric)","344410","748412","ANGUS","ANGUS","FORFAR","NO 44410 48412","http://canmore.org.uk/site/252680",
"254400","NO36NE 27","The Drums","Cairnfield (Period Unassigned), Hut Circle(S) (Prehistoric), Ring Ditch House(S) (Prehistoric)","335909","769336","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 35909 69336","http://canmore.org.uk/site/254400",
"254935","NO36NE 72","Whitehillocks","Bank (Earthwork) (Period Unassigned), Cairnfield (Prehistoric), Hut Circle(S) (Prehistoric)","337288","767709","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37288 67709","http://canmore.org.uk/site/254935",
"255228","NO36NE 123","Drums Plantation","Building(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Ring Ditch House (Prehistoric)","335770","769193","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 35770 69193","http://canmore.org.uk/site/255228",
"259722","NO65SE 62","Ironshill","Enclosure (Period Unassigned)(Possible), Pit(S) (Period Unassigned), Pit Alignment (Prehistoric), Roundhouse(S) (Prehistoric)(Possible)","367460","750050","ANGUS","ANGUS","INVERKEILOR","NO 6746 5005","http://canmore.org.uk/site/259722",
"263147","NO27NE 31","Glendoll Lodge","Clearance Cairn(S) (Prehistoric), Hut Circle (Prehistoric)","328400","776940","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 28400 76940","http://canmore.org.uk/site/263147",
"273055","NO56SW 47","Hill Of Menmuir","Cup And Ring Marked Rock (Prehistoric), Cup Marked Rock (Prehistoric)","352090","764890","ANGUS","ANGUS","MENMUIR","NO 5209 6489","http://canmore.org.uk/site/273055",
"281434","NO33NE 77","Prieston","Cup And Ring Marked Rock (Prehistoric), Hut Circle(S) (Prehistoric)(Possible)","338900","739600","ANGUS","ANGUS","TEALING","NO 389 396","http://canmore.org.uk/site/281434",
"297180","NO35SE 268","Hillhead","Boundary Ditch (Medieval), Cup Marked Stone (Prehistoric), Enclosure (Prehistoric), Post Hole(S) (Period Unassigned), Structure (Period Unassigned), Slag","338100","754500","ANGUS","ANGUS","KIRRIEMUIR","NO 381 545","http://canmore.org.uk/site/297180",
"304864","NO64SE 81","Arbroath, Cliffburn Road","Lithic Scatter (Prehistoric), Pit(S) (Period Unassigned), Pottery Scatter (Period Unassigned), Roundhouse(S) (Prehistoric)","365590","741780","ANGUS","ANGUS","ARBROATH AND ST VIGEANS","NO 6559 4178","http://canmore.org.uk/site/304864",
"331549","NO66NW 116","Auchenreoch","Pit(S) (Period Unassigned), Rig And Furrow(S) (Medieval), Round Barrow(S) (Prehistoric), Souterrain(S) (Prehistoric)(Possible), Unenclosed Settlement (Period Unassigned)(Possible)","360340","766190","ANGUS","ANGUS","EDZELL","NO 6034 6619","http://canmore.org.uk/site/331549",
"341004","NO56SE 319","Balrownie","Roundhouse (Prehistoric), Souterrain (Prehistoric)","356600","763960","ANGUS","ANGUS","MENMUIR","NO 5660 6396","http://canmore.org.uk/site/341004",
"354301","NO43SE 544","Monifeith, The Grange","Pit(S) (Period Unassigned), Post Hole(S) (Period Unassigned), Lithic Implement(S) (Prehistoric), Unidentified Pottery(S) (Prehistoric)","348900","733300","ANGUS","ANGUS","MONIFIETH (ANGUS)","NO 48900 33300","http://canmore.org.uk/site/354301",
"355165","NO65SE 73","Hawkhill","Pit (Prehistoric), Unidentified Pottery (Prehistoric)","367110","751283","ANGUS","ANGUS","LUNAN","NO 67110 51283","http://canmore.org.uk/site/355165",
"29263","NO16NE 3","Glen Beanie","Hut Circle(S) (Prehistoric)","317020","768450","ANGUS","ANGUS","GLENISLA","NO 1702 6845","http://canmore.org.uk/site/29263",
"29370","NO16SE 1","Balloch","Building (Period Unknown)(Possible), Enclosure (Period Unknown), Hut Circle(S) (Prehistoric)(Possible)","315560","764820","ANGUS","ANGUS","GLENISLA","NO 1556 6482","http://canmore.org.uk/site/29370",
"29374","NO16SE 13","Doonies","Kerb Cairn (Prehistoric)","318750","762450","ANGUS","ANGUS","GLENISLA","NO 1875 6245","http://canmore.org.uk/site/29374",
"29375","NO16SE 14","Meall Beag","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","318300","760400","ANGUS","ANGUS","GLENISLA","NO 183 604","http://canmore.org.uk/site/29375",
"29376","NO16SE 15","Craigness","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","318850","760280","ANGUS","ANGUS","GLENISLA","NO 1885 6028","http://canmore.org.uk/site/29376",
"29377","NO16SE 16","Meall Mor","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","317900","760350","ANGUS","ANGUS","GLENISLA","NO 1790 6035","http://canmore.org.uk/site/29377",
"29378","NO16SE 17","Glack Of The Barnetts","Cairnfield (Period Unassigned), Hut Circle(S) (Prehistoric)","317500","761500","ANGUS","ANGUS","GLENISLA","NO 175 615","http://canmore.org.uk/site/29378",
"29382","NO16SE 20","Doonies","Hut Circle (Prehistoric)","318320","762720","ANGUS","ANGUS","GLENISLA","NO 1832 6272","http://canmore.org.uk/site/29382",
"29383","NO16SE 21","Doonies","Building(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","318150","762950","ANGUS","ANGUS","GLENISLA","NO 1815 6295","http://canmore.org.uk/site/29383",
"29402","NO16SE 7","Alrick","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","318500","761900","ANGUS","ANGUS","GLENISLA","NO 185 619","http://canmore.org.uk/site/29402",
"30694","NO24NE 16","Wester Cardean","Souterrain (Prehistoric)","329260","746190","ANGUS","ANGUS","AIRLIE","NO 2926 4619","http://canmore.org.uk/site/30694",
"30708","NO24NE 29","Wester Cardean","Barrow (Prehistoric)(Possible)","329713","746299","ANGUS","ANGUS","AIRLIE","NO 29713 46299","http://canmore.org.uk/site/30708",
"30719","NO24NE 39","Selvie Wood, Silvie","Pit(S) (Period Unassigned), Pit Enclosure (Prehistoric)(Possible)","328000","748400","ANGUS","ANGUS","RUTHVEN","NO 280 484","http://canmore.org.uk/site/30719",
"30721","NO24NE 40","Milton Of Ruthven","Barrow (Prehistoric), Cropmark(S) (Period Unknown), Pit(S) (Period Unassigned)","329430","748920","ANGUS","ANGUS","RUTHVEN","NO 2943 4892","http://canmore.org.uk/site/30721",
"30722","NO24NE 41","Selvie Wood, Silvie","Barrow (Prehistoric), Pit(S) (Period Unassigned)","328300","748300","ANGUS","ANGUS","RUTHVEN","NO 283 483","http://canmore.org.uk/site/30722",
"30724","NO24NE 43","Law Of Brigton","Souterrain (Prehistoric), Unenclosed Settlement (Period Unassigned)(Possible)","328500","748300","ANGUS","ANGUS","RUTHVEN","NO 285 483","http://canmore.org.uk/site/30724",
"30726","NO24NE 45","Selvie Wood, Silvie","Pit Enclosure (Prehistoric)","328100","748450","ANGUS","ANGUS","RUTHVEN","NO 2810 4845","http://canmore.org.uk/site/30726",
"30745","NO24NE 63","Cardean","Pit Alignment (Prehistoric)(Possible)","328682","745960","ANGUS","ANGUS","AIRLIE","NO 28682 45960","http://canmore.org.uk/site/30745",
