CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"1951","HY30NE 5","Upper Groundwater","Barrow(S) (Prehistoric), Cist(S) (Prehistoric)","337500","1008730","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 3750 0873","http://canmore.org.uk/site/1951",
"1968","HY30SW 15","Earl's Bu, Orphir","Burnt Mound (Prehistoric), Horizontal Mill (Period Unassigned), Midden(S) (Period Unassigned)","333400","1004500","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 334 045","http://canmore.org.uk/site/1968",
"1997","HY31NE 8","Oyce Of Isbister","Barrow(S) (Prehistoric), Burnt Mound(S) (Prehistoric), Cist (Period Unassigned)","339020","1018020","ORKNEY ISLANDS","ORKNEY","EVIE AND RENDALL","HY 3902 1802","http://canmore.org.uk/site/1997",
"2035","HY31NW 42","Knowes Of Trotty","Barrow(S) (Prehistoric), Cist (Period Unassigned), Mound(S) (Period Unassigned), Bead(S) (Amber)","334200","1017400","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 342 174","http://canmore.org.uk/site/2035",
"2094","HY31SW 1","Maes Howe","Chambered Cairn (Neolithic)","331820","1012770","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 3182 1277","http://canmore.org.uk/site/2094",
"2154","HY31SW 64","Stenness","Cup And Ring Marked Rock (Prehistoric)","332000","1011000","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 32 11","http://canmore.org.uk/site/2154",
"2155","HY31SW 7","Vola","Barrow (Prehistoric)","331470","1013950","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 3147 1395","http://canmore.org.uk/site/2155",
"2241","HY32SE 21","Redland","Ring Marked Stone (Prehistoric)","337000","1024000","ORKNEY ISLANDS","ORKNEY","EVIE AND RENDALL","HY 37 24","http://canmore.org.uk/site/2241",
"2267","HY32SW 3","Orkney, Knowes Of Cuean","Barrow(S) (Prehistoric), Cremation(S) (Prehistoric)","330240","1022870","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 3024 2287","http://canmore.org.uk/site/2267",
"2287","HY33SE 20","Rousay, Too Of Nugle","Barrow (Prehistoric)","338210","1033540","ORKNEY ISLANDS","ORKNEY","ROUSAY AND EGILSAY","HY 3821 3354","http://canmore.org.uk/site/2287",
"2293","HY33SE 26","Rousay, Quendal","Burial Cairn(S) (Prehistoric), Cist(S) (Prehistoric)","337329","1031661","ORKNEY ISLANDS","ORKNEY","ROUSAY AND EGILSAY","HY 37329 31661","http://canmore.org.uk/site/2293",
"2552","HY41SW 4","Quanterness","Chambered Cairn (Neolithic), Hut Circle (Prehistoric), Roundhouse (Iron Age)","341770","1012920","ORKNEY ISLANDS","ORKNEY","KIRKWALL AND ST OLA","HY 4177 1292","http://canmore.org.uk/site/2552",
"2789","HY44NW 32","Westray, Pierowall Quarry","Chambered Cairn (Neolithic), Inscribed Stone(S) (Period Unknown), Roundhouse (Prehistoric), Structure (Period Unassigned)","343890","1049050","ORKNEY ISLANDS","ORKNEY","WESTRAY","HY 4389 4905","http://canmore.org.uk/site/2789",
"2848","HY45SE 1","Papa Westray, Knap Of Howar","Settlement (Neolithic), Lithic Implement(S) (Flint)(Neolithic), Lithic Implement(S) (Chert)(Neolithic)","348300","1051800","ORKNEY ISLANDS","ORKNEY","PAPA WESTRAY","HY 4830 5180","http://canmore.org.uk/site/2848",
"2867","HY45SE 26","Papa Westray, Munkerhoose","Broch (Iron Age)(Possible), Mound (Prehistoric), Settlement (Prehistoric)","348770","1052710","ORKNEY ISLANDS","ORKNEY","PAPA WESTRAY","HY 4877 5271","http://canmore.org.uk/site/2867",
"3151","HY53NE 18","Calf Of Eday, Long","Chambered Cairn (Neolithic), Dyke (Period Unassigned)","357860","1038610","ORKNEY ISLANDS","ORKNEY","EDAY","HY 5786 3861","http://canmore.org.uk/site/3151",
"3152","HY53NE 19","Calf Of Eday","Settlement (Period Unassigned)","357900","1038640","ORKNEY ISLANDS","ORKNEY","EDAY","HY 5790 3864","http://canmore.org.uk/site/3152",
"3229","HY54SW 12","Westray, Stancro","Cairn (Prehistoric), Mound (Prehistoric)","350130","1040490","ORKNEY ISLANDS","ORKNEY","WESTRAY","HY 5013 4049","http://canmore.org.uk/site/3229",
"3572","HY74NE 1","Sanday, Tofts Ness","Cist(S) (Period Unassigned), Dyke(S) (Period Unassigned), Mound(S) (Period Unassigned), Roundhouse (Prehistoric)","376000","1047000","ORKNEY ISLANDS","ORKNEY","LADY","HY 760 470","http://canmore.org.uk/site/3572",
"3576","HY74NE 5","Sanday, Tofts Ness","Settlement (Period Unassigned)","375690","1046460","ORKNEY ISLANDS","ORKNEY","LADY","HY 7569 4646","http://canmore.org.uk/site/3576",
"3679","HY75SE 30","North Ronaldsay, Broch Of Burrian","Broch (Iron Age)","376270","1051380","ORKNEY ISLANDS","ORKNEY","CROSS AND BURNESS","HY 7627 5138","http://canmore.org.uk/site/3679",
"3692","HY75SE 6","North Ronaldsay, Holland House","Standing Stone (Prehistoric)","375229","1052929","ORKNEY ISLANDS","ORKNEY","CROSS AND BURNESS","HY 75229 52929","http://canmore.org.uk/site/3692",
"9449","ND38SE 1","Swona, The Haven","Cairn (Prehistoric)(Possible), Structure (Prehistoric)(Possible)","339277","984960","ORKNEY ISLANDS","ORKNEY","SOUTH RONALDSAY","ND 39277 84960","http://canmore.org.uk/site/9449",
"9521","ND48NE 14","South Ronaldsay, Windwick, Cairns O' The Bu","Broch (Iron Age), Midden(S) (Period Unassigned), Pit (Period Unassigned), Roundhouse (Prehistoric), Settlement (Iron Age), Souterrain (Prehistoric)(Possible), Structure(S) (Period Unassigned), Animal Remains(S), Carved Object, Mount(S) (Antler), Rotary Quern, Spindle Whorl(S)","345420","986880","ORKNEY ISLANDS","ORKNEY","SOUTH RONALDSAY","ND 4542 8688","http://canmore.org.uk/site/9521",
"9534","ND48NE 7","South Ronaldsay, Blows Moss","Dagger (Flint), Organic Material","345400","985920","ORKNEY ISLANDS","ORKNEY","SOUTH RONALDSAY","ND 4540 8592","http://canmore.org.uk/site/9534",
"9611","ND49SE 9","South Ronaldsay, Dyke-end","Barrow (Prehistoric)(Possible), Barrow(S) (Prehistoric)","347580","992270","ORKNEY ISLANDS","ORKNEY","SOUTH RONALDSAY","ND 4758 9227","http://canmore.org.uk/site/9611",
"108272","HY52NE 10","Eday, Green","Hearth (Period Unassigned), Midden (Period Unassigned), Pit(S) (Period Unassigned), Rubbing Stone (Post Medieval), Structure(S) (Neolithic), Ard, Flake(S) (Flint), Knife(S), Lithic Implement(S), Mace (Stone), Polished Axehead (Stone), Saddle Quern (Sandstone), Unidentified Pottery(S) (Prehistoric), Worked Object (Stone)","356900","1028900","ORKNEY ISLANDS","ORKNEY","EDAY","HY 569 289","http://canmore.org.uk/site/108272",
"139987","ND38NW 52","Mill Burn","Burnt Mound (Prehistoric)(Possible), Dyke (Period Unassigned), Treb Dyke (Prehistoric)","332500","989400","ORKNEY ISLANDS","ORKNEY","WALLS AND FLOTTA","ND 325 894","http://canmore.org.uk/site/139987",
"296149","HY30NE 52","Hobbister","Peat Cutting (Period Unassigned), Organic Material (Neolithic)","339611","1006640","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 39611 06640","http://canmore.org.uk/site/296149",
"297095","HY30NE 58","Orkney West Mainland, Point","Enclosure(S) (Prehistoric), Structure(S) (Prehistoric)","337210","1005310","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 3721 0531","http://canmore.org.uk/site/297095",
"306523","HY45SE 131","Papa Westray, Mad Geo","Dyke (Prehistoric), Linear Feature (Prehistoric)","349160","1054080","ORKNEY ISLANDS","ORKNEY","PAPA WESTRAY","HY 49160 54080","http://canmore.org.uk/site/306523",
"306528","HY31SE 75","Damsay","Cist (Prehistoric)(Possible), Mound (Prehistoric)(Possible)","338760","1013700","ORKNEY ISLANDS","ORKNEY","FIRTH","HY 38760 13700","http://canmore.org.uk/site/306528",
"306580","HY63NE 34","Sanday, Cross","Broch (Iron Age)(Possible), Mound (Prehistoric), Settlement (Prehistoric)","362600","1038430","ORKNEY ISLANDS","ORKNEY","CROSS AND BURNESS","HY 62600 38430","http://canmore.org.uk/site/306580",
"306583","HY32NW 39","Rousay, Bay Of Westness","Findspot, Animal Remains (Prehistoric), Knife (Stone)(Prehistoric)","333806","1029039","ORKNEY ISLANDS","ORKNEY","ROUSAY AND EGILSAY","HY 33806 29039","http://canmore.org.uk/site/306583",
"306621","HY64SE 113","Sanday, Hyndgreenie","Findspot (Prehistoric), Settlement (Prehistoric)","366270","1044210","ORKNEY ISLANDS","ORKNEY","CROSS AND BURNESS","HY 66270 44210","http://canmore.org.uk/site/306621",
"307169","HY50NW 85","Nearhouse","Rig And Furrow (Medieval), Roundhouse (Prehistoric), Settlement (Period Unassigned), Souterrain (Prehistoric)(Possible)","350812","1006542","ORKNEY ISLANDS","ORKNEY","ST ANDREWS AND DEERNESS","HY 50812 06542","http://canmore.org.uk/site/307169",
"334009","HY31NE 51","Brae Of Muckquoy","Barrow (Prehistoric)(Possible), Mound (Prehistoric)(Possible)","337600","1017400","ORKNEY ISLANDS","ORKNEY","FIRTH","HY 3760 1740","http://canmore.org.uk/site/334009",
"351735","HY31NW 127","Harray, St Michael's Church","Buried Land Surface (Prehistoric)(Possible), Ditch (Period Unassigned)(Possible), Midden (Prehistoric)(Possible), Structure (Period Unassigned)","331426","1017892","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 31426 17892","http://canmore.org.uk/site/351735",
"1481","HY20NE 1","Hall Of Ireland, The Cairns","Fort (Prehistoric)(Possible)","329050","1009870","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 2905 0987","http://canmore.org.uk/site/1481",
"1492","HY20NE 2","Hall Of Ireland","Cist (Period Unassigned), Round Barrow (Prehistoric)","329466","1009923","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 29466 09923","http://canmore.org.uk/site/1492",
"1514","HY20NE 4","Hall Of Clestran","Standing Stone (Prehistoric)","329350","1007390","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 2935 0739","http://canmore.org.uk/site/1514",
"1525","HY20NE 5","Sower","Cairn (Prehistoric)(Possible)","329400","1006200","ORKNEY ISLANDS","ORKNEY","ORPHIR","HY 2940 0620","http://canmore.org.uk/site/1525",
"1547","HY20NE 7","Knowe Of Bea","Burnt Mound (Prehistoric)","329700","1009600","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 297 096","http://canmore.org.uk/site/1547",
"1556","HY20NW 13","Hoy, Braebister, Upper Cairn","Souterrain (Prehistoric)","322070","1005460","ORKNEY ISLANDS","ORKNEY","HOY AND GRAEMSAY","HY 2207 0546","http://canmore.org.uk/site/1556",
"1558","HY20NW 15","Hoy, Braebister, Lower Cairn","Souterrain (Prehistoric)","321810","1005410","ORKNEY ISLANDS","ORKNEY","HOY AND GRAEMSAY","HY 2181 0541","http://canmore.org.uk/site/1558",
"1563","HY20NW 2","Brockan","Standing Stone (Prehistoric)","323140","1009870","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2314 0987","http://canmore.org.uk/site/1563",
"1568","HY20NW 4","Leafea","Standing Stone(S) (Prehistoric)","323060","1009270","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2306 0927","http://canmore.org.uk/site/1568",
"1592","HY20SW 3","Hoy, Whiteglen","Standing Stone (Prehistoric)","324350","1002210","ORKNEY ISLANDS","ORKNEY","HOY AND GRAEMSAY","HY 2435 0221","http://canmore.org.uk/site/1592",
"1595","HY20SW 6","Hoy, Quoys","Cup Marked Stone (Prehistoric)","324080","1003230","ORKNEY ISLANDS","ORKNEY","HOY AND GRAEMSAY","HY 2408 0323","http://canmore.org.uk/site/1595",
"1606","HY21NE 16","Appietown","Barrow (Prehistoric), Cist (Period Unassigned)","328380","1015030","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2838 1503","http://canmore.org.uk/site/1606",
"1608","HY21NE 18","Ess Ness","Barrow (Prehistoric), Cist (Period Unassigned), Mound(S) (Period Unassigned)","329940","1016620","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2994 1662","http://canmore.org.uk/site/1608",
"1609","HY21NE 19","Linga Fold","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned), Cremation(S) (Period Unassigned), Cinerary Urn","326400","1015300","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 264 153","http://canmore.org.uk/site/1609",
"1610","HY21NE 2","Via","Barrow (Prehistoric), Cist(S) (Period Unassigned)","325840","1016090","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2584 1609","http://canmore.org.uk/site/1610",
"1613","HY21NE 22","Lyking","Standing Stone(S) (Prehistoric)","326400","1015400","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 264 154","http://canmore.org.uk/site/1613",
"1618","HY21NE 27","Fiddlerhouse","Barrow (Prehistoric)(Possible), Cist(S) (Period Unassigned)","325820","1015810","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2582 1581","http://canmore.org.uk/site/1618",
"1623","HY21NE 31","Fan Knowe, Hyval Cottage","Burnt Mound (Prehistoric)","329990","1019750","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2999 1975","http://canmore.org.uk/site/1623",
"1624","HY21NE 32","Hourston, Howaback","Barrow (Prehistoric), Cist (Period Unassigned)","329340","1019550","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2934 1955","http://canmore.org.uk/site/1624",
"1625","HY21NE 33","Howaback","Barrow (Prehistoric)","329550","1019350","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2955 1935","http://canmore.org.uk/site/1625",
"1626","HY21NE 34","Hourston, Gogeraback","Barrow (Prehistoric), Cist (Period Unassigned)","329380","1019420","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2938 1942","http://canmore.org.uk/site/1626",
"1630","HY21NE 38","Hackland","Barrow (Prehistoric), Cist (Period Unassigned)","327880","1019330","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2788 1933","http://canmore.org.uk/site/1630",
"1634","HY21NE 41","Vetquoy","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned)","326800","1018600","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 268 186","http://canmore.org.uk/site/1634",
"1635","HY21NE 42","Cumbla Newgarth","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned)","326100","1019000","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 261 190","http://canmore.org.uk/site/1635",
"1636","HY21NE 43","Hurkisgarth","Barrow (Prehistoric), Chambered Cairn (Neolithic)(Possible), Cist (Period Unassigned)","325450","1017700","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2545 1770","http://canmore.org.uk/site/1636",
"1638","HY21NE 45","Stockan","Barrow (Prehistoric)","326400","1017900","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2640 1790","http://canmore.org.uk/site/1638",
"1645","HY21NE 51","Mill Of Rango","Barrow (Prehistoric)(Possible)","326630","1018040","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2663 1804","http://canmore.org.uk/site/1645",
"1648","HY21NE 54","Appietown","Lithic Implement(S) (Flint)","328200","1015080","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2820 1508","http://canmore.org.uk/site/1648",
"1649","HY21NE 55","Appietown","Unidentified Object (Haematite)","328200","1015080","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2820 1508","http://canmore.org.uk/site/1649",
"1651","HY21NE 57","Sandwick","Souterrain (Prehistoric)(Possible), Bead (Roman)","325000","1018000","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 25 18","http://canmore.org.uk/site/1651",
"1654","HY21NE 6","Newhouse, Hestwall","Barrow (Prehistoric)","326390","1016620","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2639 1662","http://canmore.org.uk/site/1654",
"1657","HY21NE 7","Rosemount And Easthouse","Barrow(S) (Prehistoric)","327300","1016500","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 273 165","http://canmore.org.uk/site/1657",
"1662","HY21NW 11","Velzian","Barrow(S) (Prehistoric)","323130","1017040","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2313 1704","http://canmore.org.uk/site/1662",
"1667","HY21NW 15","Millhouse, Sand Fiold, Bay Of Skaill","Barrow(S) (Prehistoric)","323880","1019130","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2388 1913","http://canmore.org.uk/site/1667",
"1670","HY21NW 18","Knowe Of Nebigarth, Southerquoy","Barrow (Prehistoric)(Possible)","323160","1017500","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2316 1750","http://canmore.org.uk/site/1670",
"1673","HY21NW 20","Knowe Of Angerow","Barrow(S) (Prehistoric)(Possible)","323520","1017200","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2352 1720","http://canmore.org.uk/site/1673",
"1680","HY21NW 27","Velzian","Barrow(S) (Prehistoric)","323100","1017300","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 231 173","http://canmore.org.uk/site/1680",
"1682","HY21NW 29","Unigarth","Souterrain (Prehistoric)","324630","1017390","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2463 1739","http://canmore.org.uk/site/1682",
"1683","HY21NW 3","East Bigging","Building (Pre-improvement), Burnt Mound(S) (Prehistoric)","322606","1015051","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 22606 15051","http://canmore.org.uk/site/1683",
"1688","HY21NW 34","'skaill'","Battleaxe","320000","1010000","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2 1","http://canmore.org.uk/site/1688",
"1691","HY21NW 5","South Gyran","Barrow (Prehistoric)(Possible)","324250","1015430","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2425 1543","http://canmore.org.uk/site/1691",
"1695","HY21NW 9","Gyron Hill","Barrow (Prehistoric)","324100","1015740","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2410 1574","http://canmore.org.uk/site/1695",
"1700","HY21SE 13","Comet Stone","Standing Stone (Prehistoric)","329630","1013310","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 2963 1331","http://canmore.org.uk/site/1700",
"1708","HY21SE 20","Wasbister","Burnt Mound (Prehistoric)(Possible)","328960","1013780","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2896 1378","http://canmore.org.uk/site/1708",
"1713","HY21SE 25","Loch Of Stenness","Standing Stone(S) (Prehistoric)","327170","1011710","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2717 1171","http://canmore.org.uk/site/1713",
"1714","HY21SE 26","Voy","Burnt Mound (Prehistoric)","325350","1014970","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2535 1497","http://canmore.org.uk/site/1714",
"1718","HY21SE 3","Bookan","Barrow (Prehistoric)","328890","1013710","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2889 1371","http://canmore.org.uk/site/1718",
"1722","HY21SE 33","Redland","Burnt Mound (Prehistoric), Mound(S) (Period Unassigned)","326700","1013890","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2670 1389","http://canmore.org.uk/site/1722",
"1724","HY21SE 35","Seatter","Burnt Mound (Prehistoric)","326810","1012790","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2681 1279","http://canmore.org.uk/site/1724",
"1725","HY21SE 36","Burn Of Una, Quholm","Burnt Mound(S) (Prehistoric)","326300","1012690","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2630 1269","http://canmore.org.uk/site/1725",
"1734","HY21SE 44","Bockan","Vessel (Steatite)(Viking)","328950","1014750","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2895 1475","http://canmore.org.uk/site/1734",
"1735","HY21SE 45","Bockan","Hammer(S) (Stone)","328950","1014750","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2895 1475","http://canmore.org.uk/site/1735",
"1740","HY21SE 5","Unstan","Chambered Cairn (Neolithic)","328290","1011720","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 2829 1172","http://canmore.org.uk/site/1740",
"1741","HY21SE 50","Bockan","Axehead(S) (Stone)","328950","1014750","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2895 1475","http://canmore.org.uk/site/1741",
"1743","HY21SE 52","Bockan","Hammer (Flint)","328950","1014750","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2895 1475","http://canmore.org.uk/site/1743",
"1754","HY21SE 7","Ring Of Bookan","Chambered Cairn (Neolithic)(Possible), Henge (Neol/bronze Age)(Possible)","328340","1014500","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2834 1450","http://canmore.org.uk/site/1754",
"1755","HY21SE 8","Wasbuster, Skae Frue","Barrow (Prehistoric)","328240","1014400","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2824 1440","http://canmore.org.uk/site/1755",
"1759","HY21SW 3","Quholm, Burn Of Una","Burnt Mound (Prehistoric)","324840","1012540","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2484 1254","http://canmore.org.uk/site/1759",
"1761","HY21SW 5","Don","Burnt Mound (Prehistoric)","322700","1010290","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2270 1029","http://canmore.org.uk/site/1761",
"1762","HY22NE 1","Rantan","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned), Beaker","329610","1028230","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2961 2823","http://canmore.org.uk/site/1762",
"1763","HY22NE 10","Loch Of Boardhouse","Standing Stone (Prehistoric)","328050","1025200","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2805 2520","http://canmore.org.uk/site/1763",
"1765","HY22NE 12","Kirbister Farm","Burnt Mound (Prehistoric), Chapel (Period Unassigned), Font (Period Unassigned)","328220","1025370","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2822 2537","http://canmore.org.uk/site/1765",
"1767","HY22NE 14","Kirbister Hill","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned)","328430","1026370","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2843 2637","http://canmore.org.uk/site/1767",
"1768","HY22NE 15","Stanerandy","Mound (Period Unassigned), Standing Stone(S) (Prehistoric)","326740","1027610","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2674 2761","http://canmore.org.uk/site/1768",
"1771","HY22NE 18","Hundland","Barrow(S) (Prehistoric), Cist (Period Unassigned)","329940","1026750","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2994 2675","http://canmore.org.uk/site/1771",
"1772","HY22NE 19","Hundland Hill","Barrow (Prehistoric), Cist (Period Unassigned)","329930","1026880","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2993 2688","http://canmore.org.uk/site/1772",
"1777","HY22NE 23","Queena","Barrow(S) (Prehistoric)(Possible)","327760","1027830","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2776 2783","http://canmore.org.uk/site/1777",
"1779","HY22NE 25","Durkadale, Dounby","Burnt Mound (Prehistoric)","329900","1025070","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2990 2507","http://canmore.org.uk/site/1779",
"1784","HY22NE 3","Wheebin, South Breckbie","Standing Stone (Prehistoric)","325310","1026290","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2531 2629","http://canmore.org.uk/site/1784",
"1789","HY22NE 4","Oxtro","Broch (Iron Age), Cist(S) (Period Unassigned), Pictish Symbol Stone (Pictish)(Possible), Unidentified Pottery (Roman)","325370","1026780","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2537 2678","http://canmore.org.uk/site/1789",
"1790","HY22NE 5","Knowe Of Crustan","Barrow (Prehistoric), Mound (Period Unassigned)","327470","1028970","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2747 2897","http://canmore.org.uk/site/1790",
