Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 25 Nov 2019 13:00:43 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"45255","NS67SW 23","Hungryside Bridge","Cairn (Period Unassigned)(Possible)","262230","672940","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6223 7294","http://canmore.org.uk/site/45255",
"45256","NS67SW 24","Easter Cadder","Temporary Camp (Roman)","264400","673470","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 64400 73470","http://canmore.org.uk/site/45256",
"45258","NS67SW 26","Glasgow Bridge","Earthwork (Period Unassigned)","263450","673110","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6345 7311","http://canmore.org.uk/site/45258",
"45280","NS67SW 7","Bogton","Enclosure (Period Unassigned)","262000","673050","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6200 7305","http://canmore.org.uk/site/45280",
"45281","NS67SW 8","Forth And Clyde Canal, Glasgow Bridge","Cairn (Period Unassigned)(Possible), Cinerary Urn","263890","672930","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6389 7293","http://canmore.org.uk/site/45281",
"45282","NS67SW 9","Meiklehill","Enclosure (Period Unassigned)(Possible)","264340","672840","EAST DUNBARTONSHIRE","LANARKSHIRE","CADDER (STRATHKELVIN-DU)","NS 6434 7284","http://canmore.org.uk/site/45282",
"45665","NS75NW 23","Bothwellhaugh","Bath House (Roman)","272950","657880","NORTH LANARKSHIRE","LANARKSHIRE","DALZIEL","NS 7295 5788","http://canmore.org.uk/site/45665",
"45925","NS77SW 1","Annathill, Glenboig","Cist(S) (Prehistoric), Cremation(S) (Prehistoric), Cinerary Urn, Food Vessel, Knife(S) (Flint), Knife (Bronze), Necklace (Jet)","272400","670490","NORTH LANARKSHIRE","LANARKSHIRE","NEW MONKLAND (MONKLANDS)","NS 7240 7049","http://canmore.org.uk/site/45925",
"46486","NS83NW 22","Sadlerhead Farm","Jug (Roman)","283200","635500","SOUTH LANARKSHIRE","LANARKSHIRE","LESMAHAGOW","NS 832 355","http://canmore.org.uk/site/46486",
"47366","NS92NW 11","Wandel","Fortlet (Roman)","294430","626810","SOUTH LANARKSHIRE","LANARKSHIRE","LAMINGTON AND WANDEL","NS 9443 2681","http://canmore.org.uk/site/47366",
"47370","NS92NW 15","Hillend","Enclosure (Period Unassigned), Pit(S) (Period Unassigned), Settlement (Period Unassigned), Unidentified Pottery (Neolithic)","294350","627960","SOUTH LANARKSHIRE","LANARKSHIRE","WISTON AND ROBERTON","NS 9435 2796","http://canmore.org.uk/site/47370",
"47383","NS92SE 32","Border - Crawford - Inveresk (?)","Roman Road (Roman)","296690","620000","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9669 2000","http://canmore.org.uk/site/47383",
"47386","NS92SE 11","Normangill","Henge (Neol/bronze Age)","297250","622120","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9725 2212","http://canmore.org.uk/site/47386",
"47628","NS94NW 2","Cleghorn","Temporary Camp(S) (Roman), Coin(S) (Roman)","291056","645893","SOUTH LANARKSHIRE","LANARKSHIRE","LANARK","NS 91056 45893","http://canmore.org.uk/site/47628",
"47640","NS94SE 11","Blackshouse Burn","Cairn(S) (Period Unassigned), Mound(S) (Period Unassigned), Pit Enclosure (Prehistoric)(Possible), Ritual Enclosure(S) (Neolithic)","295260","640480","SOUTH LANARKSHIRE","LANARKSHIRE","PETTINAIN","NS 9526 4048","http://canmore.org.uk/site/47640",
"47648","NS94SE 19","Craigie Burn","Curling Pond (Period Unassigned), Ditch (Period Unassigned), Earthwork (Period Unassigned), Mound (Period Unassigned), Settlement (Period Unassigned)","298840","641850","SOUTH LANARKSHIRE","LANARKSHIRE","LIBBERTON","NS 9884 4185","http://canmore.org.uk/site/47648",
"47682","NS94SE 6","Yett","Enclosure (Period Unassigned), Settlement (Period Unassigned)","298430","642620","SOUTH LANARKSHIRE","LANARKSHIRE","LIBBERTON","NS 9843 4262","http://canmore.org.uk/site/47682",
"47687","NS94SW 10","Hyndford","Crannog (Period Unassigned)","290610","641870","SOUTH LANARKSHIRE","LANARKSHIRE","LANARK","NS 9061 4187","http://canmore.org.uk/site/47687",
"47720","NS94SW 72","Castledykes","Temporary Camp (Roman)","292272","644765","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 92272 44765","http://canmore.org.uk/site/47720",
"47721","NS94SW 71","Castledykes","Roman Fort (Roman)","292864","644258","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 92864 44258","http://canmore.org.uk/site/47721",
"48503","NT01SW 2","Redshaw Burn","Fortlet (Roman)","303000","613980","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NT 03000 13980","http://canmore.org.uk/site/48503",
"48644","NT03NW 16","Boghall","Earthwork (Period Unassigned)","303850","636590","SOUTH LANARKSHIRE","LANARKSHIRE","BIGGAR","NT 0385 3659","http://canmore.org.uk/site/48644",
"48674","NT03NW 43","Bizzyberry Hill","Enclosure (Period Unassigned)","304900","639300","SOUTH LANARKSHIRE","LANARKSHIRE","BIGGAR","NT 049 393","http://canmore.org.uk/site/48674",
"48846","NT04NE 42","Bank Farm","Brooch (Roman), Figurine (Bronze)(Roman)","309400","645300","SOUTH LANARKSHIRE","LANARKSHIRE","DOLPHINTON","NT 094 453","http://canmore.org.uk/site/48846",
"48884","NT04NW 28","Windy Gate","Enclosure (Period Unassigned)","300180","648560","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 0018 4856","http://canmore.org.uk/site/48884",
"48914","NT04NW 9","Weston","Henge (Neol/bronze Age)","303000","645780","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 0300 4578","http://canmore.org.uk/site/48914",
"49015","NT05SW 14","Hare Law","Cairnfield (Period Unassigned), Field System (Period Unassigned), Quarry(S) (Period Unassigned), Rig And Furrow (Medieval)","300400","649910","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 0040 4991","http://canmore.org.uk/site/49015",
"71581","NS64SE 8","Peebles - Castledykes - Loudoun Hill - Irvine (?)","Roman Road (Roman)","269990","641940","SOUTH LANARKSHIRE","LANARKSHIRE","AVONDALE","NS 6999 4194","http://canmore.org.uk/site/71581",
"72139","NS94SW 390","Castledykes - Bothwellhaugh - Balmuildy (?)","Quarry Pit(S) (Roman), Roman Road (Roman)","292000","644580","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 9200 4458","http://canmore.org.uk/site/72139",
"79355","NS94SW 70","Castledykes","Enclosure(S) (Roman), Fort Annexe(S) (Roman), Roman Fort (Roman), Temporary Camp(S) (Roman)","292726","644497","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 92726 44497","http://canmore.org.uk/site/79355",
"79356","NS94SW 77","Castledykes, Eastern Annexes","Enclosure(S) (Roman), Fort Annexe(S) (Roman)","293120","644240","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 93120 44240","http://canmore.org.uk/site/79356",
"89256","NS82SW 9","Mosscastle","Unenclosed Platform Settlement (Prehistoric)","284140","623010","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORDJOHN","NS 8414 2301","http://canmore.org.uk/site/89256",
"89258","NS82SW 11","Glespin","Burnt Mound(S) (Prehistoric), Field Boundary(S) (Period Unassigned), Sheepfold (Period Unassigned), Unidentified Flint(S) (Flint), Unidentified Pottery","283100","623200","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORDJOHN","NS 831 232","http://canmore.org.uk/site/89258",
"89262","NS92SW 63","Southwood Burn","Burnt Mound (Prehistoric)","293700","622900","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 937 229","http://canmore.org.uk/site/89262",
"89263","NS92SW 64","Castle Hill, Crawford","Burnt Mound (Prehistoric)","294000","622500","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 940 225","http://canmore.org.uk/site/89263",
"89264","NS92SW 65","Viaduct Plantation","Barrow (Prehistoric)(Possible)","294800","621200","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 948 212","http://canmore.org.uk/site/89264",
"89265","NS92SW 66","Rockface Strip","Burnt Mound (Prehistoric)","293900","621200","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 939 212","http://canmore.org.uk/site/89265",
"89266","NS92SW 67","Gair Gill","Burnt Mound (Prehistoric)","294300","621400","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 943 214","http://canmore.org.uk/site/89266",
"89267","NS92SW 68","Castle Hill, Crawford","Burnt Mound (Prehistoric)","293420","622190","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9342 2219","http://canmore.org.uk/site/89267",
"89268","NS92SW 69","Castle Hill, Crawford","Burnt Mound (Prehistoric), Lead Smelter (Period Unknown)","293410","622120","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9341 2212","http://canmore.org.uk/site/89268",
"89269","NS92SW 70","Castle Hill, Crawford","Burnt Mound (Prehistoric), Lead Smelter (Period Unknown)","293420","622030","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9342 2203","http://canmore.org.uk/site/89269",
"89271","NS92SW 72","Coldchapel Burn","Unenclosed Platform Settlement (Prehistoric)","294500","624700","SOUTH LANARKSHIRE","LANARKSHIRE","LAMINGTON AND WANDEL","NS 945 247","http://canmore.org.uk/site/89271",
"89272","NS92SE 51","Rome Hill","Unenclosed Platform Settlement (Prehistoric)","297600","623500","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 976 235","http://canmore.org.uk/site/89272",
"89273","NS82NE 26","Wedder Law","Unenclosed Platform Settlement (Prehistoric)","288000","628200","SOUTH LANARKSHIRE","LANARKSHIRE","DOUGLAS","NS 880 282","http://canmore.org.uk/site/89273",
"89274","NS92NE 32","Easkgill Rig","Unenclosed Platform Settlement (Prehistoric)","298952","628500","SOUTH LANARKSHIRE","LANARKSHIRE","LAMINGTON AND WANDEL","NS 98952 28500","http://canmore.org.uk/site/89274",
"89275","NS92NE 33","Broadhill End","Burnt Mound (Prehistoric), Enclosure(S) (Period Unassigned), House (Period Unassigned)","299500","629800","SOUTH LANARKSHIRE","LANARKSHIRE","LAMINGTON AND WANDEL","NS 995 298","http://canmore.org.uk/site/89275",
"89276","NS91SE 26","Brown Hill","Burnt Mound (Prehistoric)","295995","614199","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 95995 14199","http://canmore.org.uk/site/89276",
"89278","NS81NE 19","Brown Dod","Unenclosed Platform Settlement (Prehistoric)","287600","618700","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORDJOHN","NS 876 187","http://canmore.org.uk/site/89278",
"89279","NS82SE 15","Snar","Unenclosed Platform Settlement (Prehistoric)","286800","620000","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORDJOHN","NS 868 200","http://canmore.org.uk/site/89279",
"89283","NS82SE 19","Mountherrick Hill","Unenclosed Platform Settlement (Prehistoric)","285800","623400","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORDJOHN","NS 858 234","http://canmore.org.uk/site/89283",
"123591","NS90NE 10","Daer Reservoir","Lithic Working Site (Prehistoric)","298600","608270","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9860 0827","http://canmore.org.uk/site/123591",
"123592","NS90NE 11","Daer Reservoir","Lithic Working Site (Prehistoric)","298420","608020","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9842 0802","http://canmore.org.uk/site/123592",
"123593","NS90NE 12","Daer Reservoir, Beld Knowe","Burnt Mound(S) (Prehistoric)","298820","607970","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9882 0797","http://canmore.org.uk/site/123593",
"141296","NS93NE 71","Park Knowe","Hut Circle (Prehistoric)(Possible)","296160","636590","SOUTH LANARKSHIRE","LANARKSHIRE","COVINGTON AND THANKERTON","NS 9616 3659","http://canmore.org.uk/site/141296",
